ID,Amount,Date,Description,Category
1,1678.49,5/23/2024,Gas Station,Transportation
2,14.24,12/16/2023,Electricity Bill,Utilities
3,p,8/28/2024,Electricity Bill,Utilities
4,166.37,6/1/2024,Gas Bill,Utilities
5,"""2.3""",12/23/2023,Doctor Visit,Health
6,227.54,7/10/2024,Doctor Visit,Health
7,303.9,9/9/2024,Monthly Rent,Rent
oo,1360.19,5/12/2024,Doctor Visit,Health
,1837.16,7/10/2024,Walmart Grocery,Groceries
10,562.29,1/15/2024,Public Transit,Transportation
11,409.77,6/6/2024,Game Purchase,Entertainment
12,1896.44,5/15/2024,Monthly Rent,Rent
13,455.8,4/10/2024,Concert Tickets,Entertainment
14,1993.26,1/14/2024,Gym Membership,Health
15,NaN,invalid_date,Local Diner,Dining
16,1031.31,5/12/2024,Salary,Income
17,1125.69,2/16/2024,Salary,Income
18,1396.95,4/4/2024,Gas Station,Transportation
19,3948.3,5/31/2024,Freelance Payment,Income
20,92.14,10/13/2024,Monthly Rent,Rent
21,1077.16,5/27/2024,Starbucks,Dining
22,239.18,1/13/2024,Monthly Rent,Rent
23,53.52,11/2/2024,Trader Joe's,Groceries
24,513.64,7/4/2024,Walmart Grocery,Groceries
25,3078.11,3/12/2024,Freelance Payment,Income
26,357.12,7/25/2024,Gas Station,Transportation
27,262.73,invalid_date,Doctor Visit,Health
28,1606.58,11/11/2023,Trader Joe's,Groceries
29,1363.67,11/30/2023,Water Bill,Utilities
30,1219.42,11/13/2023,Trader Joe's,Groceries
31,421.12,10/29/2024,Game Purchase,Entertainment
32,1090.98,invalid_date,Uber Ride,Transportation
33,589.41,4/6/2024,Uber Ride,Transportation
34,134.91,12/18/2023,Game Purchase,Entertainment
35,1994.01,12/17/2023,Starbucks,Dining
36,2316.01,12/27/2023,Salary,Income
37,823.85,11/8/2023,Gas Station,Transportation
38,1577.28,9/15/2024,Game Purchase,Entertainment
39,526.91,4/15/2024,Game Purchase,Entertainment
40,647.41,3/31/2024,Water Bill,Utilities
41,NaN,invalid_date,Bonus,Income
42,494.54,2/19/2024,Gas Station,Transportation
43,724.17,7/29/2024,Movie Theater,Entertainment
44,1576.95,4/2/2024,Public Transit,Transportation
45,481.74,6/25/2024,Doctor Visit,Health
46,922.6,5/9/2024,Uber Ride,Transportation
47,87.72,10/11/2024,Gym Membership,Health
48,1371.55,6/3/2024,Public Transit,Transportation
49,764.63,2/15/2024,Uber Ride,Transportation
50,1159.16,10/8/2024,Gas Bill,Utilities
51,1756.04,3/11/2024,Salary,Income
52,1352.54,2/20/2024,Walmart Grocery,Groceries
53,105.54,6/25/2024,Whole Foods,Groceries
54,179.12,11/21/2023,Pharmacy,Health
55,1693.29,3/22/2024,Local Diner,Dining
56,1330.96,1/6/2024,Walmart Grocery,Groceries
57,926.31,12/22/2023,Gas Bill,Utilities
58,1196.42,5/15/2024,Whole Foods,Groceries
59,1276.03,1/8/2024,Game Purchase,Entertainment
60,188.79,6/4/2024,Gas Bill,Utilities
61,1364.88,7/1/2024,Uber Ride,Transportation
62,1324.55,5/18/2024,Walmart Grocery,Groceries
63,1132.18,10/7/2024,Whole Foods,Groceries
64,404.87,9/1/2024,Game Purchase,Entertainment
65,524.96,4/24/2024,Uber Ride,Transportation
66,1694.28,10/24/2024,Freelance Payment,Income
67,4171.62,12/8/2023,Freelance Payment,Income
68,47.81,invalid_date,Monthly Rent,Rent
69,117.25,12/11/2023,Gas Bill,Utilities
70,673.32,6/1/2024,Movie Theater,Entertainment
71,453.4,7/19/2024,Monthly Rent,Rent
72,3218.53,7/16/2024,Bonus,Income
73,1589.81,1/11/2024,Gas Bill,Utilities
74,1049.71,8/1/2024,Whole Foods,Groceries
75,846.03,11/3/2024,Gym Membership,Health
76,852.89,6/7/2024,Whole Foods,Groceries
77,1714.38,10/6/2024,Electricity Bill,Utilities
78,494.4,11/16/2023,Whole Foods,Groceries
